iter	MultiClass
278	0.5355925073
279	0.5348808208
280	0.5342881731
281	0.5329411659
282	0.5319317715
283	0.5309352642
284	0.5296290725
285	0.5284592053
286	0.5274696489
287	0.5265778193
288	0.5256480799
289	0.5244369992
290	0.5234827474
291	0.5218804196
292	0.5201571023
293	0.5191483632
294	0.517511147
295	0.5171560011
296	0.5161756428
297	0.5146166247
298	0.5137381519
299	0.5126007548
300	0.511609216
301	0.510106437
302	0.5085819418
303	0.5071392091
304	0.5061426814
305	0.5050870801
306	0.5042478661
307	0.5023088249
308	0.5002949359
309	0.4992842659
310	0.4981376366
311	0.4970567542
312	0.495898124
313	0.4942185295
314	0.493648332
315	0.4922122859
316	0.4916501878
317	0.4901251217
318	0.4884697605
319	0.4867896819
320	0.4856680971
321	0.4847925177
322	0.4834503318
323	0.4818105242
324	0.4797806271
325	0.4785211335
326	0.4771495971
327	0.4756540047
328	0.4748815854
329	0.4740804019
330	0.472619473
331	0.4718837574
332	0.4709849951
333	0.4697966602
334	0.4682696758
335	0.4676017376
336	0.4661960009
337	0.4654457584
338	0.4644211725
339	0.4634885487
340	0.462283918
341	0.4617545659
342	0.4609880386
343	0.4604581264
344	0.4597514776
345	0.4591737741
346	0.4584789473
347	0.4573075087
348	0.4562080747
349	0.4556262541
350	0.4548029547
351	0.453860366
352	0.452644053
353	0.4514287028
354	0.4506466335
355	0.449317219
356	0.4481042504
357	0.4471065653
358	0.4463932344
359	0.4458931998
360	0.444892175
361	0.4440489618
362	0.442324093
363	0.4409774194
364	0.4396414369
365	0.4388940395
366	0.4380239989
367	0.4372360656
368	0.4360432895
369	0.4352821951
370	0.4346728631
371	0.4337233175
372	0.4332161109
373	0.4321037816
374	0.431505808
375	0.4306724252
376	0.4300535837
377	0.4289920684
378	0.4278251996
379	0.4276670995
380	0.426846578
381	0.4263710744
382	0.4256321026
383	0.4246922708
384	0.4237702171
385	0.4227717139
386	0.421826667
387	0.4209848612
388	0.4197009951
389	0.4185837947
390	0.4174438981
391	0.4166472898
392	0.4153301118
393	0.4141989546
394	0.4127340698
395	0.4117410046
396	0.4109614286
397	0.410350538
398	0.4097077219
399	0.4089027073
400	0.4081301028
401	0.4069237784
402	0.4063439892
403	0.405498325
404	0.4044206624
405	0.4036496365
406	0.4028552446
407	0.402155494
408	0.401449841
409	0.4009837073
410	0.4001175242
411	0.3992952773
412	0.3983531789
413	0.3974162065
414	0.3966894977
415	0.3963232557
416	0.3955405334
417	0.3948395338
418	0.3938506525
419	0.3930864192
420	0.3919297564
421	0.3904299588
422	0.3891475105
423	0.3877180701
424	0.3871462321
425	0.3863601418
426	0.3853698515
427	0.3846257994
428	0.3838611745
429	0.3829732569
430	0.3822080396
431	0.3811434987
432	0.3801161828
433	0.3793703201
434	0.3781258549
435	0.3773818851
436	0.3764390854
437	0.3755649708
438	0.3750265598
439	0.3742432307
440	0.3734835914
441	0.3726880489
442	0.3713471367
443	0.3705138671
444	0.3696382408
445	0.3688606982
446	0.3679922857
447	0.3673197142
448	0.3668329727
449	0.365820698
450	0.3652156422
451	0.3645549178
452	0.363740561
453	0.3631382129
454	0.3621802483
455	0.3612610877
456	0.3603051635
457	0.3593801924
458	0.3584659289
459	0.3572441909
460	0.3565158635
461	0.3557794979
462	0.3546015841
463	0.35398784
464	0.3533787222
465	0.3528547665
466	0.351970217
467	0.3512387184
468	0.3504353284
469	0.3498749609
470	0.3485057359
471	0.3476982285
472	0.3470346847
473	0.3462935661
474	0.3456237524
475	0.345220655
476	0.3448950222
477	0.3443931991
478	0.3437575137
479	0.342793207
480	0.3419603139
481	0.3415961949
482	0.3408570642
483	0.3403420315
484	0.3397253339
485	0.3393463594
486	0.3386571182
487	0.337851687
488	0.3370410763
489	0.3364147003
490	0.3356729692
491	0.3349496432
492	0.3344103444
493	0.3339854984
494	0.3330607123
495	0.332345669
496	0.3317138726
497	0.3308119708
498	0.3302072416
499	0.3293016894
