TEAM1,TEAM2
Connecticut,Stetson
Florida Atlantic,Northwestern
San Diego St.,UAB
Auburn,Yale
BYU,Duquesne
Illinois,Morehead St.
Washington St.,Drake
Iowa St.,South Dakota St.
North Carolina,Wagner
Mississippi St.,Michigan St.
Saint Mary's,Grand Canyon
Alabama,College of Charleston
Clemson,New Mexico
Baylor,Colgate
Dayton,Nevada
Arizona,Long Beach St.
